Lista de CN por Estado: Sigla Estado : CN1,CN2,CN3... 

CN1	Acre (AC)
CN2	Alagoas (AL)
CN3	Amapá (AP)
CN4	Amazonas (AM)
CN5	Bahia (BA)
CN6	Ceará (CE)
CN7	Distrito Federal (DF)
CN8	Espírito Santo (ES)
CN9	Goiás (GO)
CN10	Maranhão (MA)
CN11	Mato Grosso (MT)
CN12	Mato Grosso do Sul (MS)
CN13	Minas Gerais (MG)
CN14	Pará (PA)
CN15	Paraíba (PB)
CN16	Paraná (PR)
CN17	Pernambuco (PE)
CN18	Piauí (PI)
CN19	Rio de Janeiro (RJ)
CN20	Rio Grande do Norte (RN)
CN21	Rio Grande do Sul (RS)
CN22	Rondônia (RO)
CN23	Roraima (RR)
CN24	Santa Catarina (SC)
CN25	São Paulo (SP)
CN26	Sergipe (SE)
CN27	Tocantins (TO)
