Lista reversa do par CN:Sigla Estado

CN27	Tocantins (TO)
CN26	Sergipe (SE)
CN25	São Paulo (SP)
CN24	Santa Catarina (SC)
CN23	Roraima (RR)
CN22	Rondônia (RO)
CN21	Rio Grande do Sul (RS)
CN20	Rio Grande do Norte (RN)
CN19	Rio de Janeiro (RJ)
CN18	Piauí (PI)
CN17	Pernambuco (PE)
CN16	Paraná (PR)
CN15	Paraíba (PB)
CN14	Pará (PA)
CN13	Minas Gerais (MG)
CN12	Mato Grosso do Sul (MS)
CN11	Mato Grosso (MT)
CN10	Maranhão (MA)
CN9	Goiás (GO)
CN8	Espírito Santo (ES)
CN7	Distrito Federal (DF)
CN6	Ceará (CE)
CN5	Bahia (BA)
CN4	Amazonas (AM)
CN3	Amapá (AP)
CN2	Alagoas (AL)
CN1	Acre (AC)
